Date,stocks,bonds,cash,gold
1979-01-01,99.93000030517578,8.949999809265137,9.289999961853027,233.7
1979-02-01,96.27999877929688,9.170000076293944,9.449999809265137,251.3
1979-03-01,101.58999633789062,9.109999656677246,9.4399995803833,240.1
1979-04-01,101.76000213623048,9.350000381469728,9.5600004196167,245.3
1979-05-01,99.08000183105467,9.0600004196167,9.56999969482422,274.6
1979-06-01,102.91000366210938,8.8100004196167,8.949999809265137,277.5
1979-07-01,103.80999755859376,9.010000228881836,9.18000030517578,296.5
1979-08-01,109.31999969482422,9.239999771118164,9.8100004196167,315.1
1979-09-01,109.31999969482422,9.4399995803833,10.119999885559082,397.3
1979-10-01,101.81999969482422,10.720000267028809,12.119999885559082,382.0
1979-11-01,106.16000366210938,10.380000114440918,11.489999771118164,415.7
1979-12-01,107.94000244140624,10.329999923706056,12.039999961853027,512.0
1980-01-01,114.16000366210938,11.130000114440918,12.0,653.0
1980-02-01,113.66000366210938,12.720000267028809,14.010000228881836,637.0
1980-03-01,102.08999633789062,12.640000343322754,14.239999771118164,494.5
1980-04-01,106.29000091552734,10.760000228881836,10.390000343322754,518.0
1980-05-01,111.23999786376952,10.25,7.75,535.5
1980-06-01,114.23999786376952,10.09000015258789,7.880000114440918,653.5
1980-07-01,121.66999816894533,10.760000228881836,8.619999885559082,614.3
1980-08-01,122.37999725341795,11.550000190734863,9.960000038146973,631.3
1980-09-01,125.45999908447266,11.859999656677246,11.4399995803833,666.8
1980-10-01,127.47000122070312,12.460000038146973,12.710000038146973,629.0
1980-11-01,140.52000427246094,12.720000267028809,14.479999542236328,619.8
1980-12-01,135.75999450683594,12.43000030517578,14.300000190734863,589.8
1981-01-01,129.5500030517578,12.68000030517578,14.59000015258789,506.5
1981-02-01,131.27000427246094,13.43000030517578,14.220000267028809,489.0
1981-03-01,136.0,13.130000114440918,12.460000038146973,513.8
1981-04-01,132.80999755859375,14.109999656677246,14.859999656677246,482.8
1981-05-01,132.58999633789062,13.5,15.100000381469728,479.3
1981-06-01,131.2100067138672,13.859999656677246,14.279999732971191,426.0
1981-07-01,130.9199981689453,14.670000076293944,14.869999885559082,406.0
1981-08-01,122.79000091552734,15.40999984741211,15.520000457763672,425.0
1981-09-01,116.18000030517578,15.84000015258789,14.34000015258789,428.8
1981-10-01,121.88999938964844,14.630000114440918,12.75,427.0
1981-11-01,126.3499984741211,13.130000114440918,10.369999885559082,414.5
1981-12-01,122.5500030517578,13.979999542236328,11.079999923706056,397.5
1982-01-01,120.4000015258789,14.140000343322754,12.520000457763672,387.0
1982-02-01,113.11000061035156,14.029999732971191,12.4399995803833,362.6
1982-03-01,111.95999908447266,14.18000030517578,13.260000228881836,320.0
1982-04-01,116.44000244140624,13.869999885559082,12.34000015258789,361.3
1982-05-01,111.87999725341795,13.710000038146973,11.5,325.3
1982-06-01,109.61000061035156,14.4399995803833,12.760000228881836,317.5
1982-07-01,107.08999633789062,13.68000030517578,10.170000076293944,342.9
1982-08-01,119.51000213623048,12.8100004196167,8.420000076293945,411.5
1982-09-01,120.41999816894533,11.729999542236328,7.619999885559082,397.0
1982-10-01,133.72000122070312,10.710000038146973,7.900000095367432,423.3
1982-11-01,138.52999877929688,10.789999961853027,8.279999732971191,436.0
1982-12-01,140.63999938964844,10.359999656677246,7.920000076293945,456.9
1983-01-01,145.3000030517578,10.800000190734863,8.100000381469727,499.5
1983-02-01,148.05999755859375,10.270000457763672,7.929999828338623,408.5
1983-03-01,152.9600067138672,10.619999885559082,8.640000343322754,414.8
1983-04-01,164.42999267578125,10.270000457763672,8.079999923706055,429.3
1983-05-01,162.38999938964844,10.8100004196167,8.630000114440918,437.5
1983-06-01,167.63999938964844,10.960000038146973,8.789999961853027,416.0
1983-07-01,162.55999755859375,11.760000228881836,9.220000267028809,422.0
1983-08-01,164.39999389648438,11.979999542236328,9.260000228881836,414.3
1983-09-01,166.07000732421875,11.4399995803833,8.710000038146973,405.0
1983-10-01,163.5500030517578,11.739999771118164,8.510000228881836,382.0
1983-11-01,166.39999389648438,11.630000114440918,8.880000114440918,405.0
1983-12-01,164.92999267578125,11.81999969482422,8.970000267028809,382.4
1984-01-01,163.41000366210938,11.670000076293944,8.890000343322754,373.8
1984-02-01,157.05999755859375,12.039999961853027,9.140000343322754,394.3
1984-03-01,159.17999267578125,12.529999732971191,9.720000267028809,388.5
1984-04-01,160.0500030517578,12.81999969482422,9.720000267028809,375.8
1984-05-01,150.5500030517578,13.90999984741211,9.75,384.3
1984-06-01,153.17999267578125,13.84000015258789,9.920000076293944,373.1
1984-07-01,150.66000366210938,12.90999984741211,10.399999618530272,342.4
1984-08-01,166.67999267578125,12.789999961853027,10.630000114440918,348.3
1984-09-01,166.10000610351562,12.470000267028809,10.220000267028809,343.8
1984-10-01,166.08999633789062,11.789999961853027,9.010000228881836,333.5
1984-11-01,163.5800018310547,11.579999923706056,8.4399995803833,329.0
1984-12-01,167.24000549316406,11.550000190734863,7.849999904632568,308.3
1985-01-01,179.6300048828125,11.170000076293944,8.050000190734863,306.7
1985-02-01,181.17999267578125,11.90999984741211,8.5,287.8
1985-03-01,180.66000366210935,11.649999618530272,8.180000305175781,329.3
1985-04-01,179.8300018310547,11.40999984741211,7.849999904632568,321.4
1985-05-01,189.5500030517578,10.279999732971191,7.139999866485596,314.0
1985-06-01,191.8500061035156,10.25,6.829999923706055,317.8
1985-07-01,190.9199981689453,10.56999969482422,7.28000020980835,327.5
1985-08-01,188.6300048828125,10.279999732971191,7.139999866485596,333.3
